taxonID,scientificName,taxonRank,scientificNameAuthorship,namePublishedInYear,namePublishedIn
08c8e2a0-fcbb-431a-b75f-9e56e76299c1,"Notothenidae Günther, 1861",family,,,
11c7b70e-7475-42e2-8fe1-c05acfc1d590,"Kallitaxila Kirkaldy, 1901",genus,,,
217af877-73eb-45b2-9873-0df6526b2094,"Anacampta Loew, 1868",genus,,,
2ea8ce36-63d2-4b48-b6f8-defe4d864452,"Isotomiella Bagnall, 1939",genus,,,
8ba5233c-440d-41f8-9961-6358dd67b68a,"Oodemas Boheman, 1859",genus,,,
1962edfa-ed5d-4d37-97ee-8565bdc1fedb,"Micropholcus Deeleman-Reinhold & Prinsen, 1987",genus,,,
c79a7520-edb2-4d4f-9369-913e95fccc80,"Cryptacarus Grandjean, 1950",genus,,,
6b6681de-8d9f-46f2-996a-bedbac0161ff,"Ophiomyia Braschnikov, 1897",genus,,,
e5aa8aa6-57cd-4a6f-8128-3555de3b859f,"Calycomyza Hendel, 1931",genus,,,
580de6f5-c195-4994-be16-714b0dd0ebe7,"Ormenis Stål, 1862",genus,,,
54d3ecbf-cd5a-48e8-a8ef-cf04d4e4e0fa,"Tetrastichus Haliday, 1844",genus,,,
0a0b815e-aa75-4f0d-8ca0-2b7753d48bc5,"Acritus Leconte, 1853",genus,,,
a4c99eb3-1b46-4849-8bba-8c1103b2fd4d,"Pauropsylla Ruebsaamen, 1899",genus,,,
1c9afa96-fd20-4787-9be9-ec055a7d7764,"Phyllodromia Zetterstedt, 1837",genus,,,
786548e4-4570-47b6-8b8e-70ef906ca290,"Oodemas Boheman, 1859",genus,,,
b4c24bcf-9263-4f8e-956b-39333b55b5da,"Dorthesia Bosc, 1784",genus,,,
0bc7a249-9349-4640-801b-4ff9169c252c,"Schizotetranychus Trägårdh, 1915",genus,,,
c34f6872-5d88-4ae4-98fb-0a5032782d72,"Phyllodoce Ranzani, 1817",genus,,,
1f92219e-5ea4-4a98-b268-04b85e7478b8,"Ariadna Audouin, 1826",genus,,,
40baf078-96e0-4b83-9932-43738cda2026,"Scirtothrips Shull, 1909",genus,,,
b1363357-ff84-413a-960c-4953b2c61628,"Disparipes Michael, 1884",genus,,,
e6d080f6-13e6-40a6-b76d-f0415f9cbcde,"Psammodius Fallén, 1807",genus,,,
64483858-6a43-4c05-aec7-ceadd9bd3916,"Phyllodromia Zetterstedt, 1837",genus,,,
2f7958d5-2dd5-4df8-97f8-0567ac4f7bdf,"Dorthesia Bosc, 1784",genus,,,
c70273ba-5f24-47c9-81ac-571f48aeb457,"Scapheremaeus Berlese, 1910",genus,,,
51080185-c708-4c33-b4e6-6d34877d818d,"Oodemas Boheman, 1859",genus,,,
154f22b1-6ac1-42b6-884c-fc0906eb32be,"Ophiomyia Braschnikov, 1897",genus,,,
28032d74-4bba-4752-ac2d-38b51ed90b86,"Heterocrossa Meyrick, 1882",genus,,,
540e932e-e793-4002-9fc0-af219d69ea08,"Bryania Aldrich, 1930",genus,,,
bf70bbf4-8f7a-4771-8b3a-f3da34a700b8,"Phallodrilus Pierantoni, 1902",genus,,,
9e76d751-e7d6-4a1d-84b0-32e7a8b8d48e,"Braconidae Latreille, 1829",family,,,
94253efd-e15a-4dd3-85d1-0b025961d64d,"Deilephila Laspeyres, 1809",genus,,,
f722e0f1-63c8-4d61-8ad7-5fe792cec108,"Bourletiella Banks, 1899",genus,,,
fc02d277-dc1f-4605-b8ed-642055133f2d,"Anacampta Loew, 1868",genus,,,
2ae07429-6a27-4750-bb85-802c51fddd4c,"Ilburnia White, 1878",genus,,,
85c6d6ce-8597-45c8-8136-1be9efd51ab1,"Nototheniidae Günther, 1861",family,,,
a63c11f8-c063-4725-99df-4759a87e9179,"Psorergates Tyrrell, 1883",genus,,,
65c31512-82d0-4ecb-b141-493494a0b858,"Degeeria Nicolet, 1841",genus,,,
a3066a88-e2e1-41d1-8f4d-15f8cc03290a,"Formicidae Latreille, 1802",family,,,
3f285633-4c7f-4251-9e10-79746aed079f,"Psammodius Fallén, 1807",genus,,,
021f2d54-02a0-423e-8bae-609d689ef4cf,"Limneria Adams, 1851",genus,,,
6b5dc9a6-d1ae-4b58-8a78-74031e554600,"Trypopitys Redtenbacher, 1849",genus,,,
0f76eb6f-59d5-4b22-9128-fd77b072e99c,"Stegomyia Theobald, 1901",genus,,,
867975a7-823e-4439-be0f-243c9593aaa1,"Phyllodromia Zetterstedt, 1837",genus,,,
f3e07577-eab8-4684-bfb2-4d47b16d0261,"Lepidonotus Leach, 1816",genus,,,
58757f31-e99c-461e-97c6-62a04d8a69cd,"Geoplana Mueller, 1857",genus,,,
88739b17-9840-4c4a-aa28-2de2601ed0fb,"Bryania Aldrich, 1930",genus,,,
b5e85fcc-d18a-4004-8df3-f3a34e36e99c,"Ameiridae Monard, 1927",family,,,
521cc1af-13d0-4611-adeb-7e3aaff31c87,"Orchesellides Bonet, 1930",genus,,,
a78f4671-0476-4840-a2b8-a7ee304dc129,"Palinnotus Stebbing, 1900",genus,,,
1035e6a0-241b-454b-9b75-668cb6b80ad6,"Galumnidae Jacot, 1925",family,,,
9e5ce3c5-e523-45a1-b806-ae84606296aa,"Oodemas Boheman, 1859",genus,,,
cff673b5-dd54-4705-9e76-7c429c17a827,"Lepidocampa Oudemans, 1890",genus,,,
db6f4bea-e93d-4e3c-b40b-e79e4fa0f93b,"Azotus Howard, 1898",genus,,,
d9ccc686-16fa-4ade-92be-378b2084641d,"Phlebobranchia Lahille, 1886",suborder,,,
3bc6a0d8-1d3e-41d4-a5ba-7361f0438efe,"Ormenis Stål, 1862",genus,,,
5f430fb2-028d-4f1a-a327-89af6a368306,"Oodemas Boheman, 1859",genus,,,
7903970a-de5c-4bdc-9faa-834fb453350b,"Ilburnia White, 1878",genus,,,
cd7b24fa-2ed0-4cf5-a1db-ce13a4ffb959,"Carabodes Koch, 1835",genus,,,
ff47a3e6-22cc-4dca-8569-6fe8f28b95db,"Xyleborinus Reitter, 1913",genus,,,
b05ebbca-5c01-4643-a520-e3cc44350db2,"Australospio Blake & Kudenov, 1978",genus,,,
a0be6aef-b782-4206-8567-ee46f424809c,"Pygospio Claparède, 1863",genus,,,
58922b80-a635-4df5-a02d-5fdcf2527255,"Phyllodromia Zetterstedt, 1837",genus,,,
aa915cda-da1a-406a-884a-ef09f28da421,"Heterocrossa Meyrick, 1882",genus,,,
386960d5-e45a-42dd-a633-40b49acdeb44,"Geotomus Mulsant & Rey, 1866",genus,,,
7cbce531-7eda-48ae-bdba-977711a68e32,"Nototheniidae Günther, 1861",family,,,
f117e99e-841f-4b78-b436-a0ad55da4b16,"Limneria Adams, 1851",genus,,,
d0e48571-cf69-47de-b910-eee52938e467,"Gonocephalum Chevrolat, 1845",genus,,,
ca751703-2bf9-4412-948c-87273b8b60b4,Euthrips Targioni-Tozzetti 1886,genus,,,
f2dda251-8465-4f6d-aa6e-6d3a9e7fe746,"Actacarus Schulz, 1936",genus,,,
ab5d32de-0ba5-422c-a843-738eece925b9,Euthrips Targioni-Tozzetti 1886,genus,,,
754b37e8-6e24-4815-a676-f667f2962d3a,"Crasimorpha Meyrick, 1923",genus,,,
786d03fa-9249-4e84-bc0b-bb688348f460,"Oppia Robineau-Desvoidy, 1863",genus,,,
c2e6d5b7-faa3-4f87-8b45-4d783e2ab76e,"Pentarthron Packard, 1872",genus,,,
a152b63c-4d2f-4b39-8368-fe118f218474,"Nemertopsis Bürger, 1895",genus,,,
5d30fd85-6f6b-469c-9fd1-3033571579a8,"Analges Nitzsch, 1818",genus,,,
ee3b14ec-43aa-4200-82d9-104055579200,"Notheniidae Günther, 1861",family,,,
550e502b-8c2f-46c4-a93c-c2fb6de5fc68,"Limneria Adams, 1851",genus,,,
e7c77d7a-519e-49a3-a3b5-183bd1ec5e6a,"Limneria Adams, 1851",genus,,,
ff1a6116-5c56-4473-8b3b-4e624a91ce01,"Heterocontarinia Hardy, 1960",genus,,,
9c068f43-59a3-4d1b-9c5a-cd8f5eeca78a,"Scutigerella Ryder, 1882",genus,,,
3bf89126-5866-40fb-b401-0539f874ebce,"Protaulacistis Sharp, 1899",genus,,,
03657760-7f9b-40e3-911c-97f36bd543d9,"Tegonotus Nalepa, 1890",genus,,,
bb93637c-a488-42cc-9b5b-cd4116eeec97,"Calacarus Keifer, 1940",genus,,,
f8593e02-7c53-453f-bdae-6b73aa1e26c6,"Acritus Leconte, 1853",genus,,,
c05e58bf-0866-414b-976a-c9ade3005069,"Xuthia Pascoe, 1863",genus,,,
3ab87a26-5376-4d6a-88bd-c25d9362a34f,"Dorypleres Sollas, 1888",genus,,,
a2bb3e5a-9629-4606-a0e6-075fdc260e86,"Disparipes Michael, 1884",genus,,,
17620d8c-18f6-4975-ab0a-7b3f38834dc8,"Macrosiphum Passerini, 1860",genus,,,
3883d895-fd16-48b0-a3e8-79152a55b72f,"Oodemas Boheman, 1859",genus,,,
616e5830-7896-4620-840b-aa3b6ca27856,"Paradoxosomatidae Daday, 1889",family,,,
84e2cd38-39a5-4191-88f7-47bccb76f48e,"Cryptocerus Grandjean, 1950",genus,,,
8437813f-9bdf-4379-ba86-acac3ecdbc35,"Deltocephalus Burmeister, 1838",genus,,,
aa160f10-b955-495b-ae50-ac6efacf087c,"Nototheniidae Günther, 1861",family,,,
37e5fb67-6385-4b9d-881c-431ac3622a8a,Aonidiella Berlese & Leonardi 1895,genus,,,
e581a1b1-ee6d-4843-a7ce-fcd80e913cd6,"Oidaematophorus Wallengren, 1860",genus,,,
d2f95e18-9a1c-4c23-8459-edba7dd5ccc2,"Polycladida Lang, 1884",order,,,
b2985870-0163-4864-9f60-0dce4ed223a2,"Geotomus Mulsant & Rey, 1866",genus,,,
c7caf51f-ee8c-4df0-afda-cd876999ba01,Euthrips Targioni-Tozzetti 1886,genus,,,
3bd18739-189c-47cf-9efc-2cbf6836928b,"Ilburnia White, 1878",genus,,,
ab4c6271-4370-492b-be4d-1b4501ef52ec,"Cycloptilum Scudder, 1868",genus,,,
ba4d2d7c-7c54-45fe-b658-9c47dc8caa25,"Trouessartia Canestrini, 1899",genus,,,
ae616a04-f138-4860-82a4-7e773649a93e,"Leander Desmarest, 1849",genus,,,
d7ca4c3c-c8bc-4d49-bdb1-b8b244d133f9,"Limneria Adams, 1851",genus,,,
ca2b973d-78d9-4a9c-910b-7903dbd9bac8,Smittoidea Osburn 1952,genus,,,
7d6f1bab-2b0b-4494-8c94-0e0364f9bc9b,"Aculus Keifer, 1959",genus,,,
377013cc-4ea5-4c74-b6dd-1e3fc2e0dff3,"Oodemas Boheman, 1859",genus,,,
5e68de98-541c-4d5b-a5e4-0febbf25ce67,"Crasimorpha Meyrick, 1923",genus,,,
cc59b1cd-afb8-4681-ac9e-89910ae89748,"Oodemas Boheman, 1859",genus,,,
2dd08193-e4eb-491f-96f8-9b3c5cb60804,"Trypopitys Redtenbacher, 1849",genus,,,
aa0c597d-9642-4846-8b8f-eda7f31c10ed,"Pentarthron Packard, 1872",genus,,,
bf03c7a8-1b8f-4dd3-82a2-f726d8c54e2f,"Deilephila Laspeyres, 1809",genus,,,
f0afcb64-8206-4b29-9209-7d9bbf1378da,"Phyllodoce Ranzani, 1817",genus,,,
d45a6849-6815-40c3-ae69-bab8ec8dba5f,"Scutigerella Ryder, 1882",genus,,,
70de0ec3-9224-48d8-b492-2191e9cd9878,Phytoseiidae Berlese 1916,family,,,
07075ed2-ab8c-4cea-9395-d75529c2e698,"Heterocrossa Meyrick, 1882",genus,,,
a92e6d6d-7ffb-4a3a-a278-ae45af1ef36f,"Teleonemia Costa, 1864",genus,,,
ec99e272-f1b2-44d0-b72b-9e3b85a71119,"Simosyrphus Bigot, 1882",genus,,,
2555e5ab-ec02-4bc0-bfd8-4971d001396e,"Teleonemia Costa, 1864",genus,,,
28c66806-a775-41cd-b065-3b5ffd0e1879,"Teleonemia Costa, 1864",genus,,,
a5d0344c-b221-4749-be16-6e45e309f278,"Aculus Keifer, 1959",genus,,,
c2918771-50d2-4870-8a0a-3fe75c04f4d0,"Protoeopteryx Walsingham, 1879",genus,,,
0cb7e971-90b4-476c-9857-4ea4becc43b8,"Macrosiphum Passerini, 1860",genus,,,
812efbe4-f729-4c91-8851-e9b35e015b63,"Macrosiphum Passerini, 1860",genus,,,
adabc532-0049-4abb-b172-ea70a81dce69,"Limneria Adams, 1851",genus,,,
1c21b03c-dda2-4e93-b681-46ae97b59dee,"Nototheniidae Günther, 1861",family,,,
